,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('BBS1', 'BBS7')",1.0,0.421875,0.00014626019982068498,1.0,0.0,0.0,0.0008334990562270318,0.30622659557083287,662.0377783782433,0.0,0.75,1.0,48.399380161320245,34.792240514229604,0.0,11.40175425099138,28.88771365130858,0.5,0.0,0.058823529411764705,0.0
"('BBS1', 'MKKS')",1.0,0.6458333333333334,0.00020629658434745296,1.0,0.0,0.0,1.2580659505906718e-07,0.17533730324742317,683.1545396175012,0.26098132782293487,0.6373774391990981,1.0,80.8084154033477,32.7566787083184,0.7071067811865476,2.0,12.747548783981962,0.2549019607843137,0.0,0.0,0.0
"('BBS5', 'BBS10')",1.0,0.8285714285714286,0.00017354301957912347,1.0,0.0,0.0,0.001838028334589355,0.4639665978468073,655.4049168262319,0.3803629120067398,0.6373774391990981,1.0,32.01562118716424,26.92582403567252,0.0,1.0,19.300259065618782,0.2682926829268293,0.0,1.0,0.0
"('BBS7', 'BBS4')",1.0,0.43283582089552236,0.0006121599451504689,1.0,0.0,0.0,0.0008394424399338212,0.3683506121359296,662.0377783782433,0.11934952313884369,0.6373774391990981,1.0,51.62363799656123,33.13608305156178,0.0,11.853269591129697,27.3221521846285,0.5714285714285714,0.0,0.05,0.022727272727272728
"('BBS7', 'TTC8')",1.0,0.4827586206896552,0.001262737868245931,1.0,0.0,0.5,0.2442308802429814,0.3811069499654188,662.0377783782433,0.06263787570010834,0.6373774391990981,1.0,45.221676218380054,25.10975905897944,0.0,17.029386365926403,35.12833614050059,0.48484848484848486,0.0,0.6190476190476191,0.04477611940298507
"('BBS2', 'BBS4')",1.0,0.35555555555555557,0.014341029685931449,1.0,0.0,0.0,9.97143372290774e-05,0.4309946274029276,910.0,0.1616415454919463,0.5,1.0,61.29437168288782,34.532593299664015,0.0,33.421549934136806,15.652475842498529,0.6829268292682927,0.0,0.04,0.07692307692307693
"('BMP15', 'NOBOX')",0.0,0.1111111111111111,0.0006925255715067278,0.0,0.0,0.5,0.03786128073577924,0.04763271061581111,394.94392639968527,0.3775950211536164,0.6373774391990981,3.5355339059327378,18.601075237738275,2.1213203435596424,0.7071067811865476,466.6952967408178,36.796738985948195,0.0,0.0,0.0030303030303030303,0.0
"('BMP15', 'SMC1B')",0.0,0.0,0.00020388315863944687,0.25,0.0,0.3333333333333333,0.6986428223005479,0.127778202325204,1195.2081743361698,0.4226130067475707,0.6373774391990981,3.0,18.384776310850235,8.74642784226795,27.577164466275352,466.6926183260241,2.0,0.0,0.0,0.0,0.0
"('NOBOX', 'SMC1B')",0.0,0.0,0.0007664538479815438,0.0,0.25,0.0,0.6976161680862394,0.11866639903177027,1173.8152005320087,0.1897992451834891,0.5,2.8284271247461903,2.8284271247461903,8.48528137423857,27.586228448267445,2.5495097567963922,36.796738985948195,0.0,0.0,0.0,0.0
"('BMPR2', 'KCNA5')",0.0,0.05,6.893038651335629e-05,0.5,0.0,0.0,0.704750930141252,0.6968404102222336,719.2917210701094,0.1439859460597523,0.75,5.70087712549569,11.853269591129697,70.71067811865476,58.728187440104094,60.876925020897694,11.40175425099138,0.014492753623188406,0.0,0.0,0.0
